Text	Label	Label ID
When I was told a friend's baby had been born with only partial á sight. This was her first child and she was not young (the mother á that is).	sadness	4
When I passed a very important exam.	joy	1
A \higher status\" colleague of mine despised my attitude and á	anger	3
One night I had a feeling that somebody was stealing my car, á but I was too frightened to go and see.	fear	2
Saw my brother-in-law insulting my sister.	disgust	5
I was alone in my room at the boarding house when at 12 o'clock á someone knocked violently on the door.	fear	2
When my father was involved in an accident.	fear	2
A colleague of mine asked a lecturer to put him a higher mark in á order to keep his good mards and thus to continue getting a á scholarship for an excellent grade.	disgust	5
In a sociology class I felt very angry towards some members of á society for exploiting the Polynesian people, dawn raids by á Police (Martin Luther King, Blacks in S.A.). But this was just a á reflection of my own shortcomings.	anger	3
I was angry at my boyfriend who had promised to come to see me á but did not because he spent the evening with his pals.	anger	3
Hearing Fran Wilde introduce the Bill.	joy	1
I was drawn up a statement for an infringement of the traffic á ordinance. In fact I was innocent.	anger	3
I felt shame when I found that I was almost last in the exam.	shame	6
Going to a disco by myself to wait for some friends. We had á separated and hadn't planned where to meet. I wasn't sure if they á were even going to this place so I felt very conscious of being á alone.	fear	2
Many times, when my father used to come home drunk and maltreated á physically me and my mother.	disgust	5
Not being able to answer question in a seminar.	shame	6
When a cousin of mine was discharged from the hospital after       á a long illness.  I had thought that this illness would never end.	joy	1
After watching the 49ers lose game after game, year after year, I á was finally rewarded with a Super Bowl victory which made me á extremely happy.	joy	1
When I stated sharply something I was not very sure of and a few á days later I was shown to be wrong.	shame	6
I was keeping a friend's Library book which went overdue. My á friend was charged for the delay in returning the book to the á Library. I felt guilty when I realised I was responsible.	guilt	7
Before important sports events.	fear	2
The discovery that one has only thought of oneself.	shame	6
I have experienced disgust with some people - usually double á dealers.	disgust	5
Class leader getting me to do things he did not want to do.	disgust	5
I got a present from a great friend (a dog).	joy	1
This was what I felt when my boyfriend went to Bourgas to study á there. I had the feeling I would lose him. Anyway the distance á Plovdiv-Bourgas seemed to me so great.	fear	2
I had arranged with a friend to go with him to Carinthia by car. á We had arranged a place where to meet. I was a bit late and my á friend had left already. I had no money to go by train. I nearly á started to cry because I was so angry - it was very important for á me to go to Carinthia.	anger	3
When some people, including me, are treated in a way which á equates them to an animal or a thing.	disgust	5
First time going out with a boy and other people laughed at us.	shame	6
A girl asked me why I didn't dance. I told her I was ashamed to á dance. I felt myself ashamed having to tell her this.	shame	6
When I received the acceptance letter from UNZA.  I had just á come home from work when my kind sister handed me an enveloppe á which I opened and was overcome with joy.	joy	1
The behaviour of a colleague of mine, which doesn't correspond to á my norms of behaviour.	disgust	5
I was very happy when I passed the B.A with first class marks.	joy	1
When I noticed obvious marks of old age (in a negative sense) on á a close relative of mine.	sadness	4
Once I had some homework to do and I did not do it.	guilt	7
When I heard that a 14 years old girl had been raped by four á rikshaw drivers in our town.	disgust	5
Someone told me that he would stay at my home for one night. á Therefore I made big efforts to make everything ok (food). One day á before he cancelled the appointment because he had to go to á church with his parents.	anger	3
When I attended the concert of a pop singer.	joy	1
While at primary school, I did not let a friend ring a bell á although he would have liked to do it.  Afterwards I felt bad.	guilt	7
Disgust at myself when I stroked a sleeping girl's private parts.	disgust	5
When I was in a car with my parents and friends and we had to á back up (reverse) pass a river which when I recall it (I was only á about 5 yrs) seemed we were going to fall in and drown.	fear	2
I was very sad when I heard that my uncle had passed away á untimely at home.	sadness	4
I went to eat at my aunt's house and she served macaroni with a á horrible appearence. I felt the sensation above. The worst was á that I was practically obliged to eat.	disgust	5
I had a friend who was very kind to me.  I tried my best to like á him and understand him but when I was with him I could not help á rejecting, criticizing and blaming him.  I wanted to get away á from him as soon as possible.	disgust	5
When I was in a little fishing boat and we ran into hard weather á in the open sea.	fear	2
I tried to pass an examination particularly well, but I did it á worse than ever. I felt ashamed.	shame	6
First day back on the job.	fear	2
When I lied to my mum, who later came to know that what I had á been teling her was false.	guilt	7
Walking out from the biology building.	fear	2
When I was selected to the university of Zambia.	joy	1
My parents and brother came up over the weekend. We are a very á close family. This was my first year away from home. They brought á one jacko-lantern with a new design. That is the old joke that á we have a great new design - it's always the same.	joy	1
I felt that I contributed to a possible rift in the relationship á between a boy and girl soon to be married, in my flat after I á moved in. After stating my celibacy to him which she overheard á and didn't previously know about I suspect.	guilt	7
When I cheated my trusting girlfriend by telling her that I was a á qualified doctor and later she found out that I was only a á medical student at the preclinical level.	guilt	7
A boy phoned me at night and wanted to talk to me for 30 minutes á outside.  I thought that he would reveal what he felt and would á question me on our relationship.  I treated him as a friend and á did not want any misunderstandings.  Therefore I refused to meet á him and told him that I would see him the coming day.  I was very á unhappy as I feared having hurt him and got him into trouble.	fear	2
Before an examn.	fear	2
When I copy someone else's problem set.	guilt	7
A close person lied to me.	anger	3
When I wet my bed at boarding school.	shame	6
This is one feeling I never betray, but I must confess that the á last time I slighty felt happy was when I passed my M.A with a á high rank.  This was a few years ago when my friend told me about á the result.	joy	1
When I get a hug from someone I love.	joy	1
Pictures of Nazi extermination camps on a T.V program.	disgust	5
When I failed my first exam at the Higher Institute.	fear	2
I did not deliver a message on time.	guilt	7
Not to have studied enough when exams were near.	guilt	7
During my first week in Graz I met a girl who I had got to know á in the train from Amsterdam to Graz. Although I had considered á her very sympathetic, we had seperated without changing our á adresses.	joy	1
My sister lost one of her twin sons (my first nephews) and then á the older one died a week later.	sadness	4
When one of my best friends commited siucide during these á holidays.	sadness	4
[ No response.]	fear	2
When I received the S.Y.J.C results, the marks I obtained were á not up to my expectations and I missed admission in engineering.	sadness	4
[ No response.]	anger	3
Hear my name on the list attending the English lectures.	joy	1
I heard of the death of a closefriend of mine.  I had gone camping        á with him shortly before his death and the whole thing seemed very  á sudden to me.	sadness	4
Felt it after I spoke terribly (got mad at) the person who is the á most important in my life.	shame	6
I received a phone call from a high school friend whose younger á sister studied with me at the University and gave me a lift every á moning. She was going to get married to a guy whom I knew too and á who had died when he fell from a building, I was afraid to lose á somebody since I had already lost a brother in an accident.	fear	2
My sister in law was about to have a child, and there were some á problems.  They had to do a Caesarean.  After a while, everything  á was all right.	joy	1
One night, my boyfriend expressed his love for me in the canteen in á the presence of my friends by giving me a present.	joy	1
A party I went to last Christmas.	joy	1
I had a very short term romance during the summer vacations.  When á we first met I felt excited but I wanted to avoid him after we had met á a few times and so I proposed that we stay apart, I felt very á sad then.	sadness	4
When a crawling child got burnt because of my negligence to keep á the child away from the fire.	guilt	7
The sense of guilt came over me too, when I interrupted my á studies. Why ? Because I felt guilty before my parents ! They á believed in me though this event did not make them disbelieve me.	guilt	7
When I nearly got my fiancee pregnant.	guilt	7
[ Do not know.]	shame	6
I destroyed my step-brother's bedsheets by mistake, they were the á only ones he had.	guilt	7
When I saw a car run over a child, out of carelessness.	anger	3
The day my parents were involved in a car accident and had to be á operated  and before the operation the doctor said that it was á mater of life or death.	fear	2
When people next to me play the fool.	shame	6
During a meeting I said something wrong and the others laughed at á me.	shame	6
I feel disgusted with the bootlickers, with helpless people.	disgust	5
When a person I did not know hurt a friend of mine.	disgust	5
Emptied a bucket of water in a hospital.	shame	6
My father suddenly fell ill. He stayed for 3 months in the á hospital: the last month on intensive care of the Academic á Hospital, then he died.	sadness	4
With the N.Z. Rugby Union wanting to send the All Blacks to South á Africa.	disgust	5
In 1983 a sadist provoked my sister in my presence.  He tried á to force my sister into accompanying him to his place, but my á sister did not agree and so she was kicked and she fell down.  á There was a fight.	anger	3
I confused a girl with another.	shame	6
[ No response.]	guilt	7
Finding out that some students are getting good reports they do á not deserve.	disgust	5
When I shoplifted a pair of earrings from Coles and my Mum caught á me with them in my bag.	guilt	7
I am afraid if I'll finish the term.	fear	2
When my father's new fiancee treats me like a child.  She does á not trust me and constantly misunderstands me.  I get á particularly angry when she says nasty things about my boyfriend á with whom she works.	anger	3
When I realized that I was far behind the others in the language á course and I could no longer catch up with the others.	anger	3
The girl with whom I was going around had been forbidden to be á alone with me in the house.  We paid no attention to this á prohibition but one day her parents appeared and I jumped out of á the window.  They saw me.	shame	6
When people without my permission pry in my belongings and take á things out of it.	anger	3
I put on a lot of weight in a few months and every time I met á someone I knew would avoid them, usually by hiding because my á self image was low and I was ashamed of what I had done to á myself.	shame	6
Getting drunk and creating a lot of trouble at a place I respect á - my friend's home.	shame	6
When I was taking my girlfriend out, she seemed to have taken á her time.	disgust	5
Several good friends made me a surprise visit and this made me á happy.  They are my closest friends and we had not seen each á other for a long time.	joy	1
Finding out that life span in China is shorter than in the West.	sadness	4
When confronted and in my opinion hassled by the police.	fear	2
I read about a murderer who brutalized his victims by cutting á open their stomaches and taking out their bowels.	disgust	5
Once while walking along a hill; I fell down out of carelessness á and I broke my left arm.	fear	2
After an exam I was in a very bad mood as I had done it very       á badly.  At home, my mother took so long to ask me how things had  á gone that I lost my temper.  I overreacted and made my mother cry. á She still prepared lunch for me and did not scold me .  Suddenly, á I thought that it was my fault and I started crying.  á	guilt	7
It was the first time that I gave a birthday present to my friend. á   She wrote me a letter as she is my girlfriend.  The content of á the letter was so sweet that it made me feel very happy.á	joy	1
My son was apprehended for shoplifting at the age of 14. Because á I too had been apprehended at the same age I felt the shame of á not having been able to prevent my son from acting in the same á way.	shame	6
I called off a relationship with one girl so I could see another.	guilt	7
When I talked with a teacher yesterday who, to say the least, was á rude and unwise and had irrelevant opinions about a friend.	anger	3
Quarreling with classmates.	anger	3
[ Never felt the emotion.]	shame	6
The sadness came to me when I heard that my girlfriend whom I á loved so much got married to another man before a rebuff from á her.	sadness	4
I got into a tight pair of trousers and examined myself in the á mirror.  My back looked unpresentable and I felt ashamed at my á wanting to wear those clothes that day.  I quickly changed into á another dress.	shame	6
Failing an examn.	shame	6
When a guy chased me when I was out jogging.	fear	2
Before a hospital visit prior to a D&C under anasthesia for an á expected miscarriage.	fear	2
I have a fobic anxiety for elevators. This anxiety is worst at á the moment when the doors have to open. I have it often in the á elevator at our university.	fear	2
I have an adopted Aboriginal sister I felt disgust due to the á racism she has been subjected to.	disgust	5
Someone messing up the room we share.	anger	3
When I happen to witness some sadistic acts.	disgust	5
I had promised to lend something to my mother-in-law and I forgot á it a couple of times.  When she asked me about it the third time, á I was ashamed at my absent-mindedness.	shame	6
In adolescence I had a very violent fight with my sister I hold á her stong in her neck, she had a throat surgery what make me feel á guilty about the future reactions she might had injuring the á surgery.	guilt	7
